OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y
1,38:01.3,15,1104490000000.000000000000000,State Rte 238,S,S1200,37.601168840000000,-122.014341500000000,61,61,42,42,0.800000012000000,FALSE,587009.748900000005960,4162039.216800000518560
2,38:01.7,19,1104470000000.000000000000000,State Rte 185,S,S1200,37.715701070000001,-122.143410500000002,45,45,47,47,0.939999998000000,FALSE,575504.038200000301003,4174617.783600000664592
3,38:02.2,22,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.703156980000003,-122.014027100000007,115,115,61,61,0.939999998000000,FALSE,586917.718399999663234,4173355.234600000083447
4,38:02.6,22,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.701654120000001,-121.920141799999996,110,110,19,19,0.949999988000000,FALSE,595194.901800000108778,4173270.413599999621511
5,38:03.0,22,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.701155380000003,-121.825033399999995,115,115,60,60,0.939999998000000,FALSE,603578.504399999976158,4173323.902100000530481
6,38:03.5,22,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.706147729999998,-121.730900899999995,114,114,21,21,0.949999988000000,FALSE,611868.017900000326335,4173987.449300000444055
7,38:03.8,35,1105050000000.000000000000000,I- 680,I,S1100,37.971056570000002,-122.060039500000002,112,112,11,11,0.939999998000000,FALSE,582561.791500000283122,4203029.145099999383092
8,38:04.3,35,1105050000000.000000000000000,I- 680,I,S1100,37.889767319999997,-122.058269499999994,113,113,38,38,0.930000007000000,FALSE,582802.975300000049174,4194016.965399999171495
9,38:04.7,35,1105050000000.000000000000000,I- 680,I,S1100,37.823379220000000,-121.993720900000000,115,115,16,16,0.850000024000000,FALSE,588560.597400000318885,4186708.236800000071526
10,38:05.1,35,1105050000000.000000000000000,I- 680,I,S1100,37.739364389999999,-121.951993400000006,115,115,59,59,0.939999998000000,FALSE,592344.694400000385940,4177430.407199999317527
11,38:05.5,39,1104480000000.000000000000000,John T Knox Fwy,M,S1100,37.907922419999998,-122.320384399999995,110,110,27,27,0.939999998000000,FALSE,559748.483699999749660,4195814.474500000476837
12,38:05.9,40,1104490000000.000000000000000,I- 80,I,S1100,37.995085740000000,-122.289954100000003,111,111,31,31,0.949999988000000,FALSE,562341.390399999916553,4205511.604299999773502
13,38:06.3,40,1104490000000.000000000000000,I- 80,I,S1100,37.927777030000001,-122.322344299999997,108,108,13,13,0.939999998000000,FALSE,559555.276300000026822,4198034.402000000700355
14,38:06.7,41,1104490000000.000000000000000,I- 80,I,S1100,37.995040889999999,-122.290923699999993,109,109,58,58,0.959999979000000,FALSE,562261.002700000070035,4205510.991399999707937
15,38:07.1,41,1104490000000.000000000000000,I- 80,I,S1100,37.927183800000002,-122.322332599999996,109,109,50,50,0.959999979000000,FALSE,559555.768600000068545,4197966.681900000199676
16,38:07.5,44,1104330000000.000000000000000,State Rte 1,S,S1200,37.865815820000002,-122.575526900000000,45,45,174,174,0.500000000000000,FALSE,537336.602099999785423,4191022.599899999797344
17,38:07.9,44,1104330000000.000000000000000,State Rte 1,S,S1200,37.892256179999997,-122.633466600000006,44,44,153,153,0.500000000000000,FALSE,532225.037800000049174,4193926.439300000667572
18,38:08.3,44,1104330000000.000000000000000,State Rte 1,S,S1200,37.939939610000003,-122.705210699999995,63,63,99,99,0.500000000000000,FALSE,525902.610600000247359,4199186.173399999737740
19,38:08.8,44,1104330000000.000000000000000,State Rte 1,S,S1200,38.008297499999998,-122.762840100000005,66,66,108,108,0.500000000000000,FALSE,520820.498700000345707,4206763.092499999329448
20,38:09.2,44,1104330000000.000000000000000,State Rte 1,S,S1200,38.079953330000002,-122.806301300000001,59,59,123,123,0.500000000000000,FALSE,516994.269500000402331,4214718.187200000509620
21,38:09.6,44,1104330000000.000000000000000,State Rte 1,S,S1200,38.131950709999998,-122.868235900000002,70,70,87,87,0.500000000000000,FALSE,511547.537100000306964,4220478.491000000387430
22,38:09.9,44,1104330000000.000000000000000,State Rte 1,S,S1200,38.197331400000003,-122.920272400000002,57,57,119,119,0.500000000000000,FALSE,506978.530799999833107,4227712.741000000387430
23,38:10.4,44,1104330000000.000000000000000,State Rte 1,S,S1200,38.276278019999999,-122.899996000000002,75,75,77,77,0.500000000000000,FALSE,508743.386500000022352,4236477.758199999108911
24,38:10.7,53,110764000000.000000000000000,Saint Helena Hwy,M,S1200,38.470143610000001,-122.431255199999995,83,83,65,65,0.500000000000000,FALSE,549616.382000000216067,4258148.964900000020862
25,38:11.2,76,1104470000000.000000000000000,State Rte 35,S,S1200,37.465314669999998,-122.346901799999998,74,74,95,95,0.500000000000000,FALSE,557751.335500000044703,4146689.178899999707937
26,38:11.6,76,1104470000000.000000000000000,State Rte 35,S,S1200,37.407123710000000,-122.306843900000004,74,74,93,93,0.500000000000000,FALSE,561344.951999999582767,4140261.320800000801682
27,38:11.9,76,1104470000000.000000000000000,State Rte 35,S,S1200,37.363573299999999,-122.247037599999999,79,79,88,88,0.500000000000000,FALSE,566677.030199999921024,4135487.422599999234080
28,38:12.3,78,1104480000000.000000000000000,Coast Hwy,M,S1200,37.525120170000001,-122.511080800000002,81,81,40,40,0.949999988000000,FALSE,543197.671799999661744,4153237.195199999958277
29,38:12.7,79,1104260000000.000000000000000,Skyline Blvd,M,S1200,37.435010689999999,-122.319938100000002,75,75,98,98,0.500000000000000,FALSE,560166.572100000455976,4143360.994699999690056
30,38:13.2,79,1104260000000.000000000000000,Skyline Blvd,M,S1200,37.389351120000001,-122.275283000000002,56,56,125,125,0.500000000000000,FALSE,564158.218399999663234,4138305.097599999979138
31,38:13.6,79,1104260000000.000000000000000,Skyline Blvd,M,S1200,37.335020589999999,-122.216703600000002,76,76,92,92,0.500000000000000,FALSE,569389.568900000303984,4132333.493899999186397
32,38:14.0,82,1104480000000.000000000000000,I- 280,I,S1100,37.449552300000001,-122.277365300000000,119,119,58,58,0.720000029000000,FALSE,563923.288499999791384,4144987.111300000920892
33,38:14.4,82,1104480000000.000000000000000,I- 280,I,S1100,37.507601579999999,-122.339337700000002,119,119,11,11,0.750000000000000,FALSE,558392.993999999947846,4151400.079800000414252
34,38:14.8,82,1104480000000.000000000000000,I- 280,I,S1100,37.577312560000003,-122.401409200000003,115,115,29,29,0.939999998000000,FALSE,552852.316499999724329,4159082.898199999704957
35,38:15.2,83,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.622336689999997,-122.400241899999997,105,105,42,42,0.939999998000000,FALSE,552928.184200000017881,4164081.035700000822544
36,38:15.6,83,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.578136440000002,-122.321771499999997,107,107,56,56,0.949999988000000,FALSE,559884.831699999980628,4159225.491800000891089
37,38:15.9,83,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.511885399999997,-122.253652000000002,110,110,40,40,0.949999988000000,FALSE,565963.103000000119209,4151923.945599999278784
38,38:16.4,83,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.476297379999998,-122.167707399999998,110,110,49,49,0.949999988000000,FALSE,573587.621600000187755,4148039.785299999639392
39,38:16.8,84,1104480000000.000000000000000,US Hwy 101,U,S1200,37.622323010000002,-122.400584499999994,110,110,30,30,0.939999998000000,FALSE,552901.253399999812245,4164080.863600000739098
40,38:17.2,84,1104480000000.000000000000000,US Hwy 101,U,S1200,37.578159839999998,-122.322100599999999,106,106,32,32,0.949999988000000,FALSE,559857.738199999555945,4159245.612099999561906
41,38:17.6,84,1104480000000.000000000000000,US Hwy 101,U,S1200,37.511876440000002,-122.253996200000003,111,111,50,50,0.939999998000000,FALSE,565936.132199999876320,4151923.731699999421835
42,38:18.0,84,1104480000000.000000000000000,US Hwy 101,U,S1200,37.476293269999999,-122.168064200000003,111,111,61,61,0.939999998000000,FALSE,573555.241100000217557,4148039.499199999496341
43,38:18.4,86,1104480000000.000000000000000,State Rte 82,S,S1200,37.659998229999999,-122.441510899999997,48,48,62,62,0.970000029000000,FALSE,549256.800900000147521,4168250.184900000691414
44,38:18.8,87,1104470000000.000000000000000,Coast Hwy,M,S1200,37.671442190000000,-122.476030399999999,100,100,14,14,0.939999998000000,FALSE,546208.089300000108778,4169498.931399999186397
45,38:19.3,88,1104480000000.000000000000000,Coast Hwy,M,S1200,37.609078750000002,-122.494849799999997,71,71,52,52,0.959999979000000,FALSE,544587.516099999658763,4162569.224899999797344
46,38:19.7,91,1104480000000.000000000000000,State Rte 152,S,S1200,37.027225719999997,-121.327505500000001,112,112,40,40,0.949999988000000,FALSE,648762.680300000123680,4099207.188599999994040
47,38:20.2,91,1104480000000.000000000000000,State Rte 152,S,S1200,37.056354440000000,-121.243837900000003,107,107,58,58,0.939999998000000,FALSE,656157.835199999623001,4102558.134999999776483
48,38:20.6,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.363159199999998,-121.759935200000001,40,40,136,136,0.500000000000000,FALSE,609814.275399999693036,4135895.392799999564886
49,38:21.1,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.329238779999997,-121.691119999999998,35,35,163,163,0.500000000000000,FALSE,615958.079499999992549,4132205.802799999713898
50,38:21.5,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.338018030000001,-121.653070999999997,37,37,194,194,0.500000000000000,FALSE,619313.077700000256300,4133228.284299999475479
51,38:22.0,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.349767739999997,-121.600444699999997,42,42,158,158,0.500000000000000,FALSE,623959.801099999807775,4134609.851099999621511
52,38:22.4,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.350635560000001,-121.536617199999995,52,52,129,129,0.500000000000000,FALSE,629607.843999999575317,4134783.532999999821186
53,38:22.8,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.350614059999998,-121.478211099999996,73,73,76,76,0.500000000000000,FALSE,634781.494800000451505,4134865.319099999964237
54,38:23.2,97,1104490000000.000000000000000,State Rte 130,S,S1200,37.389317980000001,-121.450717499999996,50,50,76,76,0.500000000000000,FALSE,637149.404400000348687,4139184.819800000637770
55,38:23.6,102,1104490000000.000000000000000,I- 280,I,S1100,37.359534369999999,-122.118959599999997,115,115,31,31,0.920000017000000,FALSE,578025.958599999547005,4135138.691400000825524
56,38:24.0,102,1104490000000.000000000000000,I- 280,I,S1100,37.334428750000001,-122.032510200000004,27,27,20,20,0.949999988000000,FALSE,585713.736299999989569,4132417.055299999192357
57,38:24.4,102,1104490000000.000000000000000,I- 280,I,S1100,37.317337739999999,-121.941372200000004,109,109,15,15,0.920000017000000,FALSE,593807.730700000189245,4130600.841299999505281
58,38:24.8,102,1104490000000.000000000000000,I- 280,I,S1100,37.339272059999999,-121.852787800000002,112,112,23,23,0.949999988000000,FALSE,601620.143699999898672,4133130.134199999272823
59,38:25.2,108,1104490000000.000000000000000,State Rte 82,S,S1200,37.257334239999999,-121.804949500000006,45,45,61,61,0.850000024000000,FALSE,605984.816200000233948,4124088.618000000715256
60,38:25.6,126,1105050000000.000000000000000,I- 680,I,S1100,38.119124419999999,-122.106247800000006,113,113,22,22,0.939999998000000,FALSE,578345.688500000163913,4219405.070100000128150
61,38:26.0,126,1105050000000.000000000000000,I- 680,I,S1100,38.204899210000001,-122.138156899999998,108,108,59,59,0.870000005000000,FALSE,575453.681900000199676,4228900.475899999961257
62,38:26.4,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.257415719999997,-122.647555999999994,108,108,53,53,0.930000007000000,FALSE,530831.643099999986589,4234445.881999999284744
63,38:26.8,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.319697869999999,-122.713903999999999,114,114,30,30,0.949999988000000,FALSE,525005.766400000080466,4241326.861600000411272
64,38:27.2,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.413566969999998,-122.715913900000004,93,109,22,19,0.959999979000000,FALSE,524802.933100000023842,4251755.863700000569224
65,38:27.6,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.494038289999999,-122.753141700000000,113,113,13,13,0.930000007000000,FALSE,521528.650799999944866,4260665.910800000652671
66,38:28.0,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.559961649999998,-122.821117900000004,113,113,44,44,0.889999986000000,FALSE,515585.097799999639392,4267953.055600000545382
67,38:28.4,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.629079650000001,-122.877902599999999,111,111,26,26,0.870000005000000,FALSE,510624.082799999974668,4275625.157999999821186
68,38:28.8,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.706197220000000,-122.907583099999997,115,115,60,60,0.500000000000000,FALSE,508033.513600000180304,4284189.673800000920892
69,38:29.2,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.761173300000003,-122.982125199999999,115,115,62,62,0.500000000000000,FALSE,501552.570199999958277,4290288.092199999839067
70,38:29.6,140,1104480000000.000000000000000,Redwood Hwy,M,S1200,38.838474259999998,-123.020694399999996,106,106,47,47,0.879999995000000,FALSE,498203.105600000359118,4298855.868200000375509
71,38:30.0,145,1104260000000.000000000000000,State Rte 116,S,S1200,38.237097239999997,-122.517195299999997,84,84,66,66,0.959999979000000,FALSE,542249.608599999919534,4232235.403799999505281
72,38:30.4,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.467778979999999,-123.035392000000002,76,76,81,81,0.500000000000000,FALSE,496910.623700000345707,4257732.215900000184774
73,38:30.8,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.501071709999998,-123.005132500000002,59,59,56,56,0.500000000000000,FALSE,499551.780000000260770,4261415.895700000226498
74,38:31.2,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.476972130000000,-122.932631000000001,68,68,101,101,0.500000000000000,FALSE,505876.330099999904633,4258756.423599999397993
75,38:31.6,146,1104470000000.000000000000000,State Rte 116,S,S1200,38.436709819999997,-122.857530400000002,66,66,53,53,0.870000005000000,FALSE,512436.890599999576807,4254280.490000000223517
76,38:32.1,149,1104470000000.000000000000000,Bay Hwy,M,S1200,38.337340249999997,-122.981002500000002,83,83,85,85,0.500000000000000,FALSE,501657.733099999837577,4243238.763299999758601
77,38:32.5,163,1104490000000.000000000000000,I- 80,I,S1100,37.886256490000001,-122.308928800000004,106,106,28,28,0.939999998000000,FALSE,560769.597099999897182,4193424.567600000649691
78,38:32.9,168,1104470000000.000000000000000,I- 680,I,S1100,37.644969850000003,-121.889411699999997,108,108,51,51,0.959999979000000,FALSE,597975.803000000305474,4167017.708300000056624
79,38:33.3,168,1104470000000.000000000000000,I- 680,I,S1100,37.568757730000002,-121.895184000000000,111,111,64,64,0.839999974000000,FALSE,597563.713200000114739,4158560.399000000208616
80,38:33.7,168,1104470000000.000000000000000,I- 680,I,S1100,37.504816990000002,-121.933766399999996,106,106,43,43,0.959999979000000,FALSE,594237.661500000394881,4151417.477800000458956
81,38:34.1,170,1105080000000.000000000000000,I- 580,I,S1100,37.796002510000001,-122.209674800000002,109,109,43,43,0.949999988000000,FALSE,569586.578200000338256,4183484.949500000104308
82,38:34.5,170,1105080000000.000000000000000,I- 580,I,S1100,37.742730750000000,-122.145976099999999,114,114,45,45,0.939999998000000,FALSE,575240.037999999709427,4177608.782400000840425
83,38:34.9,170,1105080000000.000000000000000,I- 580,I,S1100,37.690554040000002,-122.077258999999998,112,112,30,30,0.930000007000000,FALSE,581357.397900000214577,4171896.670800000429153
84,38:35.3,170,1105080000000.000000000000000,I- 580,I,S1100,37.699426529999997,-121.986107700000005,113,113,60,60,0.949999988000000,FALSE,589381.128200000151992,4172961.624199999496341
85,38:35.7,170,1105080000000.000000000000000,I- 580,I,S1100,37.701427400000000,-121.891638400000005,114,114,17,17,0.920000017000000,FALSE,597707.965200000442564,4173272.674200000241399
86,38:36.1,170,1105080000000.000000000000000,I- 580,I,S1100,37.700641470000001,-121.796512800000002,115,115,50,50,0.959999979000000,FALSE,606092.152900000102818,4173288.081900000572205
87,38:36.5,170,1105080000000.000000000000000,I- 580,I,S1100,37.716842380000003,-121.704577299999997,117,117,51,51,0.910000026000000,FALSE,614170.657599999569356,4175197.538300000131130
88,38:36.9,170,1105080000000.000000000000000,I- 580,I,S1100,37.734461500000002,-121.614573100000001,108,108,59,59,0.949999988000000,FALSE,622082.129700000397861,4177261.586999999359250
89,38:37.3,171,1104490000000.000000000000000,Macarthur Fwy,M,S1100,37.797247919999997,-122.213190900000001,109,109,43,43,0.949999988000000,FALSE,569268.392599999904633,4183617.712999999523163
90,38:37.7,171,1104490000000.000000000000000,Macarthur Fwy,M,S1100,37.745066540000003,-122.148879600000001,114,114,45,45,0.939999998000000,FALSE,574990.207399999722838,4177877.403899999335408
91,38:38.1,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.702787700000002,-122.014701799999997,111,111,57,57,0.949999988000000,FALSE,586853.651700000278652,4173307.152000000700355
92,38:38.5,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.701262450000002,-121.920823200000001,103,103,44,44,0.970000029000000,FALSE,595136.261300000362098,4173222.327999999746680
93,38:38.9,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.700918760000000,-121.825744099999994,114,114,41,41,0.949999988000000,FALSE,603519.826299999840558,4173282.527899999171495
94,38:39.3,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.705625879999999,-121.731559799999999,115,115,26,26,0.930000007000000,FALSE,611815.131500000134110,4173918.999900000169873
95,38:39.7,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.995115810000001,-122.533069200000000,108,108,68,68,0.949999988000000,FALSE,540995.897900000214577,4205376.641000000759959
96,38:40.1,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.914597460000003,-122.511977400000006,106,106,36,36,0.949999988000000,FALSE,542902.279900000430644,4196460.703700000420213
97,38:40.4,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.835722740000001,-122.484867100000002,91,91,54,54,0.949999988000000,FALSE,545332.706399999558926,4187710.678300000727177
98,38:40.8,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.629814519999996,-122.434338900000000,115,115,26,26,0.939999998000000,FALSE,549912.258500000461936,4164902.024000000208616
99,38:41.2,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.559448209999999,-122.382522899999998,114,114,59,59,0.949999988000000,FALSE,554535.984500000253320,4157123.180299999192357
100,38:41.6,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.497873020000000,-122.315268000000003,116,116,60,60,0.930000007000000,FALSE,560531.684299999848008,4150331.869000000879169
101,38:42.0,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.442594409999998,-122.252790500000003,115,120,36,34,0.920000017000000,FALSE,566094.160400000400841,4144245.590600000694394
102,38:42.4,228,1104490000000.000000000000000,State Rte 92,S,S1200,37.556744530000003,-122.284356099999997,106,106,17,17,0.920000017000000,FALSE,563211.858799999579787,4156893.517899999395013
103,38:42.8,238,1104470000000.000000000000000,el Camino Real,M,S1200,37.659998229999999,-122.441510899999997,48,48,62,62,0.970000029000000,FALSE,549256.800900000147521,4168250.184900000691414
104,38:43.2,243,1104480000000.000000000000000,State Rte 152,S,S1200,37.027551570000000,-121.327654699999997,108,108,50,50,0.949999988000000,FALSE,648756.774699999950826,4099234.179800000041723
105,38:43.6,243,1104480000000.000000000000000,State Rte 152,S,S1200,37.056481380000001,-121.243797700000002,113,113,63,63,0.949999988000000,FALSE,656157.334699999541044,4102585.222100000828505
106,38:44.0,244,1104480000000.000000000000000,Santa Cruz Hwy,M,S1200,37.143934950000002,-121.984738300000004,79,79,14,14,0.959999979000000,FALSE,590168.735999999567866,4111321.153000000864267
107,38:44.4,247,1102410000000.000000000000000,Hecker Pass Hwy,M,S1200,36.997676370000001,-121.686739799999998,66,66,116,116,0.500000000000000,FALSE,616856.918600000441074,4095421.640100000426173
108,38:44.8,248,1104480000000.000000000000000,I- 880,I,S1100,37.398199560000002,-121.908346899999998,113,113,28,28,0.949999988000000,FALSE,596624.296600000001490,4139619.937300000339746
109,38:45.2,249,1104490000000.000000000000000,I- 880,I,S1100,37.363327499999997,-121.902218300000001,100,100,11,11,0.939999998000000,FALSE,597209.762000000104308,4135739.311799999326468
110,38:45.6,250,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.301795689999999,-121.815213299999996,113,113,12,12,0.949999988000000,FALSE,605002.745299999602139,4129020.269700000062585
111,38:46.0,253,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.424899170000003,-121.916421000000000,113,113,23,23,0.959999979000000,FALSE,595877.243099999614060,4142564.141100000590086
112,38:46.4,263,110697000000.000000000000000,Rio Dixon Rd,M,S1200,38.335230220000000,-121.823277800000000,95,95,75,75,0.500000000000000,FALSE,602839.162399999797344,4243676.938899999484420
113,38:46.8,264,110697000000.000000000000000,I- 80,I,S1100,38.224595979999997,-122.125825800000001,115,115,23,23,0.939999998000000,FALSE,576517.786399999633431,4231104.902799999341369
114,38:47.2,264,110697000000.000000000000000,I- 80,I,S1100,38.275194200000001,-122.047994000000003,115,115,21,21,0.930000007000000,FALSE,583276.976999999955297,4236793.297199999913573
115,38:47.6,264,110697000000.000000000000000,I- 80,I,S1100,38.346725350000000,-121.995857500000000,118,118,19,19,0.889999986000000,FALSE,587750.289499999955297,4244758.663899999111891
116,38:48.0,264,110697000000.000000000000000,I- 80,I,S1100,38.400359580000000,-121.918026600000005,113,113,50,50,0.899999976000000,FALSE,594475.505199999548495,4250788.615700000897050
117,38:48.4,264,110697000000.000000000000000,I- 80,I,S1100,38.458265460000000,-121.842548800000003,116,116,42,42,0.920000017000000,FALSE,600987.540599999949336,4257302.809100000187755
118,38:48.8,264,110697000000.000000000000000,I- 80,I,S1100,38.519755600000003,-121.770070300000000,119,119,34,34,0.939999998000000,FALSE,607217.557000000029802,4264218.585000000894070
119,38:49.2,265,1105050000000.000000000000000,I- 680,I,S1100,38.119803370000000,-122.106024000000005,117,117,50,50,0.939999998000000,FALSE,578360.891099999658763,4219493.264799999073148
120,38:49.6,265,1105050000000.000000000000000,I- 680,I,S1100,38.205582690000000,-122.137873499999998,112,112,41,41,0.920000017000000,FALSE,575479.582100000232458,4228988.765699999406934
121,38:50.0,270,110697000000.000000000000000,I- 780,I,S1100,38.054679239999999,-122.146655199999998,108,108,40,40,0.920000017000000,FALSE,574869.506900000385940,4212226.997800000011921
122,38:50.4,278,1104470000000.000000000000000,State Rte 128,S,S1200,38.755057149999999,-122.970893399999994,114,114,35,35,0.500000000000000,FALSE,502528.513000000268221,4289604.284199999645352
123,38:50.8,279,1104470000000.000000000000000,State Rte 116,S,S1200,38.289445839999999,-122.692576399999993,111,111,61,61,0.939999998000000,FALSE,526889.641099999658763,4237980.561599999666214
124,38:51.2,280,1104470000000.000000000000000,State Rte 121,S,S1200,38.232505840000002,-122.460122200000001,85,85,75,75,0.939999998000000,FALSE,547252.229799999855459,4231748.324300000444055
125,38:51.6,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.337309529999999,-122.979301199999995,83,83,80,80,0.500000000000000,FALSE,501807.087600000202656,4243238.795399999246001
126,38:52.0,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.340156669999999,-123.046495300000004,46,46,154,154,0.500000000000000,FALSE,495934.413300000131130,4243551.145500000566244
127,38:52.4,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.408733310000002,-123.096509699999999,58,58,125,125,0.500000000000000,FALSE,491573.943400000222027,4251187.037200000137091
128,38:52.8,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.457914660000000,-123.141214800000000,63,63,96,96,0.500000000000000,FALSE,487686.889200000092387,4256630.360200000926852
129,38:53.2,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.495551679999998,-123.200673699999996,46,46,159,159,0.500000000000000,FALSE,482498.547799999825656,4260811.886099999770522
130,38:53.6,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.529739139999997,-123.266623800000005,63,63,114,114,0.500000000000000,FALSE,476761.279600000008941,4264625.898800000548363
131,38:54.0,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.576240599999998,-123.334278499999996,60,60,124,124,0.500000000000000,FALSE,470880.229399999603629,4269812.698200000450015
132,38:54.3,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.636853979999998,-123.388480000000001,86,86,66,66,0.500000000000000,FALSE,466187.594600000418723,4276556.572799999266863
133,38:54.7,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.704470749999999,-123.442856300000003,75,75,82,82,0.500000000000000,FALSE,461496.084699999541044,4284082.249800000339746
134,38:55.1,288,1104480000000.000000000000000,State Rte 12,S,S1200,38.428103700000001,-122.767869300000001,97,97,67,67,0.569999993000000,FALSE,520259.033200000412762,4253341.460899999365211
135,38:55.5,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.782666149999997,-122.239359199999996,102,102,65,65,0.959999979000000,FALSE,566976.300499999895692,4181980.152699999511242
136,38:55.9,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.716269920000002,-122.173700600000004,107,107,22,22,0.949999988000000,FALSE,572824.453200000338256,4174661.430800000205636
137,38:56.3,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.656396630000003,-122.101329600000000,107,107,34,34,0.949999988000000,FALSE,579268.128700000233948,4168083.795399999246001
138,38:56.7,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.577923530000000,-122.047886300000002,111,111,23,23,0.949999988000000,FALSE,584067.429899999871850,4159408.231899999082088
139,38:57.1,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.516437889999999,-121.978485800000001,107,107,54,54,0.949999988000000,FALSE,590269.315299999900162,4152660.232999999076128
